COS18n1_L;Espaços descobertos ou com pouca vegetação;Territórios artificializados;Pastagens;Florestas;Agricultura;Matos;Massas de água superficiais;Superfícies agroflorestais (SAF);DICOFRE
União das freguesias de Carreira e Bente;;33.9496;;10.7138;54.3371;0.9966;;;031253
União das freguesias de Vila Cova e Feitos;;11.4401;;57.9231;30.2637;0.3668;;;0302FH
Palmeira;;37.4026;0.1208;25.4361;31.7091;3.1408;2.1892;;030331
Pereira;;17.2695;;57.0715;25.6547;;;;030259
Perelhal;;16.3565;0.1648;50.6387;31.164;0.1521;1.5179;;030260
União das freguesias de Real Dume e Semelhe;;40.2033;;26.398;29.1456;4.2524;;;030379
Várzea;;40.823;;17.0339;40.6239;1.5153;;;030283
Sequeira;;33.4535;;31.1933;28.0469;7.3046;;;030354
Aldreu;;14.6245;0.2636;48.7966;35.0437;1.2649;;;030206
União das freguesias de Braga (São José de São Lázaro e São João do Souto);;93.0176;;6.2799;0.7006;;;;030365
Silva;;27.9936;0.0205;18.7458;53.1171;0.1206;;;030279
União das freguesias de Airão Santa Maria Airão São João e Vermil;;29.2443;;40.1007;29.7099;0.9432;;;030876
União das freguesias de Oliveira São Paio e São Sebastião;;97.2089;;;2.4885;0.3;;;030884
Silvares;;33.3707;;29.9249;28.8702;7.3953;0.4378;;030868
União das freguesias de Ruivães e Novais;;32.8144;0.2449;25.7419;35.7872;5.4099;;;031257
União das freguesias de Tabuadelo e São Faustino;;20.0421;;46.5401;31.6082;1.8102;;;030891
Tadim;;18.5921;;65.9029;14.0334;1.4683;;;030356
União das freguesias de Avidos e Lagoa;;28.4912;;21.4889;48.7334;1.2851;;;031252
União das freguesias de Nogueiró e Tenões;;37.5564;0.2814;46.0244;15.2108;0.9258;;;030378
União das freguesias de Creixomil e Mariz;;13.6669;;54.3767;30.6179;;1.3329;;030297
União das freguesias de Silveiros e Rio Covo (Santa Eulália);;19.1596;0.8703;36.0809;42.7329;1.1531;;;0302FE
Guardizela;;37.3419;0.5565;26.642;33.1265;2.333;;;030823
União das freguesias de Selho São Lourenço e Gominhães;;23.617;;31.4356;42.8754;2.0717;;;030888
Ucha;;24.4356;0.2376;33.8956;37.973;0.3314;3.1247;;030282
União das freguesias de Conde e Gandarela;;29.4343;1.2508;41.5508;21.886;5.8768;;;030882
Landim;;33.651;;19.6945;44.9833;1.6682;;;031221
Aborim;;10.6556;;74.0141;15.016;0.3098;;;030202
União das freguesias de Souto Santa Maria Souto São Salvador e Gondomar;;18.0708;;49.2039;23.8786;8.3161;0.5303;;030890
União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);0.9837;16.0033;;45.8817;35.2246;1.9049;;;030369
União das freguesias de Morreira e Trandeiras;;16.7787;;50.3201;29.4274;3.4727;;;030376
União das freguesias de Serzedo e Calvos;;26.5857;;36.8868;31.2855;3.9467;1.2966;;030889
Gilmonde;;27.7947;;35.6453;34.97;0.4074;1.1788;;030237
Pinheiro;;29.5887;;33.0321;31.7985;5.5797;;;030836
Lamas;;26.0575;;18.6676;54.4648;0.8072;;;030322
União das freguesias de Carreira e Fonte Coberta;;20.5964;0.5092;28.9009;49.6386;0.3522;;;030295
Adaúfe;;24.3245;0.4838;38.097;30.5402;5.2135;1.3397;;030301
Abade de Neiva;;17.974;0.8994;46.3909;34.5285;0.2031;;;030201
Lousado;;38.5476;;33.2854;24.3629;2.335;1.467;;031224
Creixomil;;61.8891;;4.3976;30.2701;3.4426;;;030813
Roriz;;19.7922;;38.7131;41.4909;;;;030264
Areias;;30.8159;;46.0136;16.7294;0.855;5.5819;;030210
União das freguesias de Gamil e Midões;;17.4071;0.6867;48.793;32.2911;0.8184;;;030299
União das freguesias de Merelim (São Pedro) e Frossos;;50.1285;1.2309;6.1864;41.0369;1.4149;;;030375
União das freguesias de Celeirós Aveleda e Vimieiro;;44.4931;;29.3867;23.7524;2.3671;;;030367
Manhente;;28.3255;0.3894;24.7952;41.5857;0.1813;4.7207;;030245
Ronfe;;42.4235;;16.6084;36.1495;3.5141;1.3043;;030840
Galegos (Santa Maria);;29.3829;;37.9377;31.3697;1.3055;;;030268
União das freguesias de Merelim (São Paio) Panoias e Parada de Tibães;;34.6697;0.8354;12.2549;48.3232;1.3158;2.5997;;030374
Galegos (São Martinho);;28.2643;;41.3392;28.371;1.458;0.5643;;030272
Longos;;8.8568;;60.0127;30.115;1.0139;;;030827
União das freguesias de Briteiros Santo Estêvão e Donim;;20.4031;0.9249;42.8121;29.2202;5.4187;1.2202;;030879
União das freguesias de Milhazes Vilar de Figos e Faria;;11.0005;;44.2122;44.7007;0.0821;;;0302FA
Nine;;29.4517;;16.7055;53.4054;0.434;;;031227
União das freguesias de Negreiros e Chavão;;17.2436;;32.5468;50.2061;;;;0302FB
União das freguesias de Gondifelos Cavalões e Outiz;;15.8865;1.1715;39.7919;40.189;2.9582;;;031255
Mire de Tibães;;27.2135;0.0254;33.4659;36.3752;1.245;1.6733;;030325
Padim da Graça;;25.9005;2.9533;37.7373;30.0951;0.1859;3.1248;;030330
União das freguesias de Sande Vila Nova e Sande São Clemente;0.1117;21.8066;0.048;40.3451;31.2659;6.1567;0.2652;;030887
Barco;;32.4421;0.6577;32.4934;26.3172;6.8559;1.2323;;030806
Oliveira (Santa Maria);;37.3424;;27.3018;27.1683;7.3214;0.864;;031239
União das freguesias de Crespos e Pousada;;14.7544;0.6622;38.8864;39.362;4.7815;1.5533;;030368
Joane;;36.4562;;34.9047;27.318;1.3195;;;031219
Barqueiros;;21.4322;;36.71;40.045;1.8065;;;030215
Caldelas;;51.7582;0.427;9.7953;36.2532;0.3904;1.3734;;030808
Alvelos;;34.4548;;18.0065;46.9552;0.5805;;;030208
União das freguesias de Durrães e Tregosa;;18.7456;0.3676;57.5704;23.312;;;;030298
Lama;;25.215;;32.2768;40.8812;0.9202;0.7051;;030242
Castelões;;31.4015;;28.9507;36.648;2.9984;;;031210
Fradelos;;14.2498;;43.6832;39.4549;2.2393;0.3692;;031215
Balugães;;26.0231;;35.0776;34.6605;4.2348;;;030212
Panque;;10.785;;64.5284;23.3992;1.2839;;;030256
União das freguesias de Lomar e Arcos;;50.1041;;19.8768;27.6108;2.4067;;;030373
Remelhe;;14.0954;;45.3585;40.5428;;;;030263
