Freguesias;Dicofre_freg;Dicofre;Valor_mediano_m2
Cruz;031212;119031212;
Delães;031213;119031213;920
Fradelos;031215;119031215;
Gavião;031216;119031216;1091
Joane;031219;119031219;1044
Landim;031221;119031221;
Louro;031223;119031223;
Lousado;031224;119031224;1048
Mogege;031225;119031225;
Nine;031227;119031227;
Oliveira (Santa Maria);031239;119031239;
Oliveira (São Mateus);031242;119031242;982
Pedome;031230;119031230;
Pousada de Saramagos;031232;119031232;846
Requião;031233;119031233;1011
Riba de Ave;031234;119031234;766
Ribeirão;031235;119031235;1069
União das freguesias de Antas e Abade de Vermoim;031250;119031250;1226
União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;031251;119031251;
União das freguesias de Avidos e Lagoa;031252;119031252;
União das freguesias de Carreira e Bente;031253;119031253;
União das freguesias de Esmeriz e Cabeçudos;031254;119031254;1000
União das freguesias de Gondifelos Cavalões e Outiz;031255;119031255;1060
União das freguesias de Lemenhe Mouquim e Jesufrei;031256;119031256;1191
União das freguesias de Ruivães e Novais;031257;119031257;1073
União das freguesias de Seide;031258;119031258;
União das freguesias de Vale (São Cosme) Telhado e Portela;031259;119031259;
União das freguesias de Vila Nova de Famalicão e Calendário;031260;119031260;1084
Vale (São Martinho);031241;119031241;
Vermoim;031247;119031247;
Vilarinho das Cambas;031249;119031249;
