Freguesia;Dicofre;taxa_desemprego
União das freguesias de Antas e Abade de Vermoim;031250;7,45
União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;031251;6,18
União das freguesias de Avidos e Lagoa;031252;7,54
União das freguesias de Carreira e Bente;031253;8,46
União das freguesias de Esmeriz e Cabeçudos;031254;6,01
União das freguesias de Gondifelos, Cavalões e Outiz;031255;7,1
União das freguesias de Lemenhe, Mouquim e Jesufrei;031256;7,52
União das freguesias de Ruivães e Novais;031257;7,96
União das freguesias de Seide;031258;6,62
União das freguesias de Vale (São Cosme), Telhado e Portela;031259;6,26
União das freguesias de Vila Nova de Famalicão e Calendário;031260;8,05
Vale (São Martinho);031241;5,95
Vermoim;031247;5,82
Vilarinho das Cambas;031249;4,69
