Freguesia;Dicofre;Ind_envelhecimento
União das freguesias de Antas e Abade de Vermoim;031250;106,83
União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;031251;137,6
União das freguesias de Avidos e Lagoa;031252;151,3
União das freguesias de Carreira e Bente;031253;249,36
União das freguesias de Esmeriz e Cabeçudos;031254;136,93
União das freguesias de Gondifelos, Cavalões e Outiz;031255;130,38
União das freguesias de Lemenhe, Mouquim e Jesufrei;031256;185,68
União das freguesias de Ruivães e Novais;031257;219,13
União das freguesias de Seide;031258;162,93
União das freguesias de Vale (São Cosme), Telhado e Portela;031259;157,58
União das freguesias de Vila Nova de Famalicão e Calendário;031260;144,54
Vale (São Martinho);031241;154,23
Vermoim;031247;177,01
Vilarinho das Cambas;031249;131,18
